Data,Dia Semana,Hora Inicio,Hora Fim,Nome,Id Funcionario,Bloqueio,Otimizacao
26/02/2022,Sábado,00:00:00,12:00:00,Funcionario 11,11,False,False
26/02/2022,Sábado,12:00:00,23:59:59,Funcionario 1,1,False,True
27/02/2022,Domingo,00:00:00,12:00:00,Funcionario 1,1,False,True
27/02/2022,Domingo,12:00:00,23:59:59,Funcionario 11,11,False,False
28/02/2022,Segunda,00:00:00,12:00:00,Funcionario 11,11,False,False
28/02/2022,Segunda,12:00:00,23:59:59,Funcionario 1,1,False,True
01/03/2022,Terça,00:00:00,12:00:00,Funcionario 1,1,False,True
01/03/2022,Terça,12:00:00,23:59:59,Funcionario 11,11,False,False
02/03/2022,Quarta,00:00:00,12:00:00,Funcionario 11,11,False,False
02/03/2022,Quarta,12:00:00,23:59:59,Funcionario 1,1,False,True
03/03/2022,Quinta,00:00:00,08:00:00,Funcionario 1,1,False,True
03/03/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,False
04/03/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,False
04/03/2022,Sexta,21:00:00,23:59:59,Funcionario 14,14,False,False
05/03/2022,Sábado,00:00:00,12:00:00,Funcionario 14,14,False,False
05/03/2022,Sábado,12:00:00,23:59:59,Funcionario 9,9,False,False
06/03/2022,Domingo,00:00:00,12:00:00,Funcionario 9,9,False,False
06/03/2022,Domingo,12:00:00,23:59:59,Funcionario 1,1,False,False
07/03/2022,Segunda,00:00:00,08:00:00,Funcionario 1,1,False,False
07/03/2022,Segunda,21:00:00,23:59:59,Funcionario 9,9,False,False
08/03/2022,Terça,00:00:00,08:00:00,Funcionario 9,9,False,False
08/03/2022,Terça,21:00:00,23:59:59,Funcionario 1,1,False,False
09/03/2022,Quarta,00:00:00,08:00:00,Funcionario 1,1,False,False
09/03/2022,Quarta,21:00:00,23:59:59,Funcionario 9,9,False,False
10/03/2022,Quinta,00:00:00,08:00:00,Funcionario 9,9,False,False
10/03/2022,Quinta,21:00:00,23:59:59,Funcionario 1,1,False,False
11/03/2022,Sexta,00:00:00,08:00:00,Funcionario 1,1,False,False
11/03/2022,Sexta,21:00:00,23:59:59,Funcionario 9,9,False,False
12/03/2022,Sábado,00:00:00,12:00:00,Funcionario 9,9,False,False
12/03/2022,Sábado,12:00:00,23:59:59,Funcionario 1,1,False,False
13/03/2022,Domingo,00:00:00,12:00:00,Funcionario 1,1,False,False
13/03/2022,Domingo,12:00:00,23:59:59,Funcionario 7,7,False,False
14/03/2022,Segunda,00:00:00,08:00:00,Funcionario 7,7,False,False
14/03/2022,Segunda,21:00:00,23:59:59,Funcionario 12,12,False,False
15/03/2022,Terça,00:00:00,08:00:00,Funcionario 12,12,False,False
15/03/2022,Terça,21:00:00,23:59:59,Funcionario 7,7,False,False
16/03/2022,Quarta,00:00:00,08:00:00,Funcionario 7,7,False,False
16/03/2022,Quarta,21:00:00,23:59:59,Funcionario 12,12,False,False
17/03/2022,Quinta,00:00:00,08:00:00,Funcionario 12,12,False,False
17/03/2022,Quinta,21:00:00,23:59:59,Funcionario 7,7,False,False
18/03/2022,Sexta,00:00:00,08:00:00,Funcionario 7,7,False,False
18/03/2022,Sexta,21:00:00,23:59:59,Funcionario 12,12,False,False
19/03/2022,Sábado,00:00:00,12:00:00,Funcionario 12,12,False,False
19/03/2022,Sábado,12:00:00,23:59:59,Funcionario 7,7,False,False
20/03/2022,Domingo,00:00:00,12:00:00,Funcionario 7,7,False,False
20/03/2022,Domingo,12:00:00,23:59:59,Funcionario 12,12,False,False
21/03/2022,Segunda,00:00:00,08:00:00,Funcionario 12,12,False,False
21/03/2022,Segunda,21:00:00,23:59:59,Funcionario 18,18,False,False
22/03/2022,Terça,00:00:00,08:00:00,Funcionario 18,18,False,False
22/03/2022,Terça,21:00:00,23:59:59,Funcionario 11,11,False,False
23/03/2022,Quarta,00:00:00,08:00:00,Funcionario 11,11,False,False
23/03/2022,Quarta,21:00:00,23:59:59,Funcionario 18,18,False,False
24/03/2022,Quinta,00:00:00,08:00:00,Funcionario 18,18,False,False
24/03/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,False
25/03/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,False
25/03/2022,Sexta,21:00:00,23:59:59,Funcionario 18,18,False,False
26/03/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,False
26/03/2022,Sábado,12:00:00,23:59:59,Funcionario 11,11,False,False
27/03/2022,Domingo,00:00:00,12:00:00,Funcionario 11,11,False,False
27/03/2022,Domingo,12:00:00,23:59:59,Funcionario 18,18,False,False
28/03/2022,Segunda,00:00:00,08:00:00,Funcionario 18,18,False,False
28/03/2022,Segunda,21:00:00,23:59:59,Funcionario 11,11,False,False
29/03/2022,Terça,00:00:00,08:00:00,Funcionario 11,11,False,False
29/03/2022,Terça,21:00:00,23:59:59,Funcionario 14,14,False,False
30/03/2022,Quarta,00:00:00,08:00:00,Funcionario 14,14,False,False
30/03/2022,Quarta,21:00:00,23:59:59,Funcionario 9,9,False,False
31/03/2022,Quinta,00:00:00,08:00:00,Funcionario 9,9,False,False
31/03/2022,Quinta,21:00:00,23:59:59,Funcionario 14,14,False,False
01/04/2022,Sexta,00:00:00,08:00:00,Funcionario 14,14,False,False
01/04/2022,Sexta,21:00:00,23:59:59,Funcionario 9,9,False,False
02/04/2022,Sábado,00:00:00,12:00:00,Funcionario 9,9,False,False
02/04/2022,Sábado,12:00:00,23:59:59,Funcionario 14,14,False,False
03/04/2022,Domingo,00:00:00,12:00:00,Funcionario 14,14,False,False
03/04/2022,Domingo,12:00:00,23:59:59,Funcionario 9,9,False,False
04/04/2022,Segunda,00:00:00,08:00:00,Funcionario 9,9,False,False
04/04/2022,Segunda,21:00:00,23:59:59,Funcionario 14,14,False,False
05/04/2022,Terça,00:00:00,08:00:00,Funcionario 14,14,False,False
05/04/2022,Terça,21:00:00,23:59:59,Funcionario 9,9,False,False
06/04/2022,Quarta,00:00:00,08:00:00,Funcionario 9,9,False,False
06/04/2022,Quarta,21:00:00,23:59:59,Funcionario 1,1,False,False
07/04/2022,Quinta,00:00:00,08:00:00,Funcionario 1,1,False,False
07/04/2022,Quinta,21:00:00,23:59:59,Funcionario 14,14,False,True
08/04/2022,Sexta,00:00:00,08:00:00,Funcionario 14,14,False,True
08/04/2022,Sexta,21:00:00,23:59:59,Funcionario 1,1,False,False
09/04/2022,Sábado,00:00:00,12:00:00,Funcionario 1,1,False,False
09/04/2022,Sábado,12:00:00,23:59:59,Funcionario 14,14,False,True
10/04/2022,Domingo,00:00:00,12:00:00,Funcionario 14,14,False,True
10/04/2022,Domingo,12:00:00,23:59:59,Funcionario 1,1,False,False
11/04/2022,Segunda,00:00:00,08:00:00,Funcionario 1,1,False,False
11/04/2022,Segunda,21:00:00,23:59:59,Funcionario 7,7,False,False
12/04/2022,Terça,00:00:00,08:00:00,Funcionario 7,7,False,False
12/04/2022,Terça,21:00:00,23:59:59,Funcionario 1,1,False,False
13/04/2022,Quarta,00:00:00,08:00:00,Funcionario 1,1,False,False
13/04/2022,Quarta,21:00:00,23:59:59,Funcionario 7,7,False,False
14/04/2022,Quinta,00:00:00,08:00:00,Funcionario 7,7,False,False
14/04/2022,Quinta,21:00:00,23:59:59,Funcionario 12,12,False,False
15/04/2022,Sexta,00:00:00,12:00:00,Funcionario 12,12,False,False
15/04/2022,Sexta,12:00:00,23:59:59,Funcionario 18,18,False,False
16/04/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,False
16/04/2022,Sábado,12:00:00,23:59:59,Funcionario 12,12,False,False
17/04/2022,Domingo,00:00:00,12:00:00,Funcionario 12,12,False,False
17/04/2022,Domingo,12:00:00,23:59:59,Funcionario 18,18,False,False
18/04/2022,Segunda,00:00:00,08:00:00,Funcionario 18,18,False,False
18/04/2022,Segunda,21:00:00,23:59:59,Funcionario 12,12,False,False
